,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
SEPHS2,0.705553,0.705553,0.049097,0.049097,0.000000,0.000000,0.496715,0.205140,0.521577,0.992342,0.098441,2.799904,0.076921,0.061124
EDARADD,0.704892,0.704892,0.159643,0.159643,0.000000,0.000000,1.076842,0.120933,0.146410,0.344357,0.147646,5.441005,0.722673,0.219961
SLC16A10,0.703374,0.703374,0.127054,0.127054,0.274414,0.000038,0.376723,-0.224689,0.150819,1.452994,0.335885,0.696013,0.603587,0.079028
ZSCAN18,0.702502,0.702502,0.897997,0.897997,0.000000,0.001551,0.843184,0.370297,0.710910,0.510793,1.060660,6.308301,3.161413,2.319972
GPR155,0.702404,0.702404,0.169160,0.169160,0.000000,0.000009,0.363503,-0.155851,0.368973,0.916482,0.463460,4.327012,0.492564,0.133256
UNKL,-0.700924,0.700924,-0.078227,0.078227,0.000000,0.000066,-0.329670,-0.537832,-0.023820,-0.991445,0.236321,0.400391,3.436221,0.133552
FGF14,0.700654,0.700654,0.368429,0.368429,0.000000,0.000000,0.977966,0.186165,0.231419,0.116484,0.375192,5.089275,2.561940,1.284250
FAM184A,-0.700243,0.700243,0.107227,0.107227,0.000000,0.006047,0.084921,0.357058,0.033466,-0.819818,1.257511,1.171266,1.601335,0.060231
PLEKHA9,0.700009,0.700009,-0.001745,0.001745,0.000000,0.006810,-0.001469,-0.305831,-0.125557,0.792689,1.183327,1.136073,2.510249,0.051288
SAP30BP,0.699498,0.699498,0.117299,0.117299,0.030608,0.004118,1.159819,-0.091631,0.435448,0.577495,0.100723,0.757106,0.100121,0.223096
PLAG1,-0.696753,0.696753,-0.044593,0.044593,0.207577,0.002360,-0.069269,-0.409328,0.145085,-1.288001,0.641141,0.442307,0.497794,0.041362
C11orf10,-0.694534,0.694534,-0.039572,0.039572,0.035126,0.000011,-0.116769,-0.107670,-0.325912,-1.129061,0.337512,1.370411,0.259753,0.099900
GFM2,-0.693842,0.693842,-0.056358,0.056358,0.175737,0.001483,-0.270565,-0.097483,-0.125206,-1.369445,0.207448,3.083560,0.279724,0.090659
OPRL1,0.693439,0.693439,0.054666,0.054666,0.000000,0.000000,0.656703,0.395183,0.813349,0.614561,0.082903,1.406851,0.081585,0.096828
HIST1H2AM,0.691527,0.691527,0.071287,0.071287,0.299315,0.000072,0.124872,-0.360679,0.153938,1.384270,0.568548,0.689318,1.764096,0.050949
HIST1H2BO,0.691527,0.691527,0.071287,0.071287,0.299315,0.000072,0.124872,-0.360679,0.153938,1.384270,0.568548,0.689318,1.764096,0.050949
SETX,0.690706,0.690706,0.090271,0.090271,0.036547,0.000498,0.175444,-0.338299,-0.002776,1.074111,0.512430,1.010166,0.935840,0.108967
ZNF574,0.689755,0.689755,0.200520,0.200520,0.000000,0.000193,0.494971,0.201107,0.159821,1.058189,0.403460,2.724387,0.324622,0.160565
C22orf28,-0.688167,0.688167,-0.045763,0.045763,0.000000,0.000000,-0.910364,-0.466777,-0.540072,-0.537156,0.050064,0.613944,0.055961,0.105508
CHRAC1,0.686472,0.686472,0.034003,0.034003,0.314808,0.000004,0.207182,-0.072291,0.614660,1.487822,0.163451,0.437634,0.122502,0.053668
SH3YL1,0.682614,0.682614,0.094611,0.094611,0.000000,0.003214,0.168618,-0.122799,0.465164,1.029024,0.558807,2.401350,0.500173,0.204981
ZNF219,0.682221,0.682221,0.028453,0.028453,0.297886,0.003942,0.227475,-0.056148,0.385537,1.510893,0.124572,1.051342,0.140888,0.062431
SELM,0.681814,0.681814,0.041667,0.041667,0.000000,0.000002,0.568157,-0.279702,0.866664,0.564242,0.073038,1.293471,0.065522,0.225371
ANXA6,0.681185,0.681185,0.050509,0.050509,0.000000,0.000000,0.591686,0.007450,0.931303,0.204910,0.085016,6.010232,0.064244,0.174561
SURF4,-0.677011,0.677011,-0.276365,0.276365,0.000000,0.000367,-0.318628,-0.173518,-0.166174,-0.989446,0.863817,2.458810,2.303337,0.371313
KIAA1324,0.673680,0.673680,0.098064,0.098064,0.046242,0.000000,1.079068,0.325668,0.427335,-0.133145,0.090507,1.055146,0.261562,0.390315
PRKRIR,-0.669933,0.669933,-0.149675,0.149675,0.000000,0.007248,-0.177914,-0.236664,0.386109,-0.818833,0.837844,3.449546,1.442329,0.103043
LOC100133985,0.669098,0.669098,0.078083,0.078083,0.000000,0.000014,0.499365,0.358738,0.363804,0.929769,0.155726,0.287580,0.644856,0.098642
ARL6IP1,0.666544,0.666544,0.054320,0.054320,0.005285,0.003123,0.400005,0.608487,-0.112289,0.952911,0.135245,0.320528,0.433672,0.069113
CD38,0.665035,0.665035,0.072029,0.072029,0.000000,0.001454,0.694096,0.416992,0.555285,0.719792,0.103351,0.674138,0.300149,0.121036
